key,date,H/A,team,opp_team,pinnacle_line,pinnacle_odds,5dimes_line,5dimes_odds,heritage_line,heritage_odds,bovada_line,bovada_odds,betonline_line,betonline_odds,bet365_line,bet365_odds,bodog_line,bodog_odds
20091004_Baltimore_New England,20091004,away,Baltimore,New England,+1,+116,+2.5,-108,,,+2,-110,+2,-110,,,+2,-110
20091004_Baltimore_New England,20091004,home,New England,Baltimore,-1,-126,-2.5,-102,,,-2,-110,-2,-110,,,-2,-110
20091004_Tampa Bay_Washington,20091004,away,Tampa Bay,Washington,+9.5,-105,+9.5,-107,,,+9,-110,+9.5,-110,,,+9.5,-110
20091004_Tampa Bay_Washington,20091004,home,Washington,Tampa Bay,-9.5,-103,-9.5,-103,,,-9,-110,-9.5,-110,,,-9.5,-110
20091004_Tennessee_Jacksonville,20091004,away,Tennessee,Jacksonville,-3,-120,-3.5,+100,,,-3,-135,-3,-125,,,-3,-125
20091004_Tennessee_Jacksonville,20091004,home,Jacksonville,Tennessee,+3,+111,+3.5,-110,,,+3,+115,+3,+105,,,+3,+105
20091004_N.Y. Jets_New Orleans,20091004,away,N.Y. Jets,New Orleans,+7.5,-108,+7.5,-108,,,+7.5,-105,+7.5,-110,,,+7.5,-115
20091004_N.Y. Jets_New Orleans,20091004,home,New Orleans,N.Y. Jets,-7.5,+100,-7.5,-102,,,-7.5,-115,-7.5,-110,,,-7.5,-105
20091004_Dallas_Denver,20091004,away,Dallas,Denver,-1,-130,-2.5,-115,,,-3,-115,-2.5,-115,,,-3,+105
20091004_Dallas_Denver,20091004,home,Denver,Dallas,+1,+120,+2.5,+105,,,+3,-105,+2.5,-105,,,+3,-125
20091004_Los Angeles_San Francisco,20091004,away,Los Angeles,San Francisco,+9.5,-112,+9,-102,,,+10,-115,+9.5,-110,,,+9,-110
20091004_Los Angeles_San Francisco,20091004,home,San Francisco,Los Angeles,-9.5,+104,-9,-108,,,-10,-105,-9.5,-110,,,-9,-110
20091004_San Diego_Pittsburgh,20091004,away,San Diego,Pittsburgh,+5.5,-105,+5.5,-110,,,+7,-145,+5.5,-110,,,+5.5,-110
20091004_San Diego_Pittsburgh,20091004,home,Pittsburgh,San Diego,-5.5,-103,-5.5,-110,,,-7,+125,-5.5,-110,,,-5.5,-110
20091005_Green Bay_Minnesota,20091005,away,Green Bay,Minnesota,+4.5,-109,+4.5,-105,,,+5.5,-110,+4.5,-110,,,+4.5,-110
20091005_Green Bay_Minnesota,20091005,home,Minnesota,Green Bay,-4.5,+101,-4.5,-105,,,-5.5,-110,-4.5,-110,,,-4.5,-110
20091011_Cincinnati_Baltimore,20091011,away,Cincinnati,Baltimore,+9,-101,+9,+100,,,+9,-110,+9,-110,,,+9,-110
20091011_Cincinnati_Baltimore,20091011,home,Baltimore,Cincinnati,-9,-107,-9,-110,,,-9,-110,-9,-110,,,-9,-110
20091011_Washington_Carolina,20091011,away,Washington,Carolina,+5,-108,+5,-109,,,+5.5,-110,+5,-110,,,+5,-110
20091011_Washington_Carolina,20091011,home,Carolina,Washington,-5,+100,-5,-101,,,-5.5,-110,-5,-110,,,-5,-110
20091011_Pittsburgh_Detroit,20091011,away,Pittsburgh,Detroit,-11,-107,-11,-105,,,-11,-115,-11,-110,,,-11,-110
20091011_Pittsburgh_Detroit,20091011,home,Detroit,Pittsburgh,+11,-101,+11,-105,,,+11,-105,+11,-110,,,+11,-110
20091011_Dallas_Kansas City,20091011,away,Dallas,Kansas City,-7,-108,-7,-108,,,-8,-110,-7,-110,,,-7,-110
20091011_Dallas_Kansas City,20091011,home,Kansas City,Dallas,+7,+100,+7,-102,,,+8,-110,+7,-110,,,+7,-110
20091011_Oakland_N.Y. Giants,20091011,away,Oakland,N.Y. Giants,+15.5,-115,+14.5,-102,,,+16,-115,+15,-110,,,+15,-110
20091011_Oakland_N.Y. Giants,20091011,home,N.Y. Giants,Oakland,-15.5,+106,-14.5,-108,,,-16,-105,-15,-110,,,-15,-110
20091011_Tampa Bay_Philadelphia,20091011,away,Tampa Bay,Philadelphia,+15.5,-107,+15,-101,,,+16,-110,+15.5,-110,,,+15.5,-110
